Item,Cost (USD),Cost (HKD),Date,Notes
Claude Max 20x (Year 1),250,1950,2026-03,Main dev tool - AI code acceleration
OpenRouter API topup,10.8,84,2026-03,API calls for fast-alpr and misc
Tencent Cloud,5.4 (RMB 42),46,2026-03,Cloud server - may need upgrade
